error,time,VV0000,VV0001,VV0002,VV0003,VV0004,VV0005,VV0006,VV0007,VV0008,VV0009,VV0010,VV0011,VV0012,VV0013,VV0014,VV0015,VV0016,VV0017,VV0018,VV0019,VV0020,VV0021,VV0022,VV0023,VV0024,VV0025,VV0026,VV0027,VV0028,VV0029,VV0030,VV0031,VV0032,VV0033,VV0034,VV0035,VV0036,VV0037,VV0038,VV0039,VV0040,VV0041,VV0042,VV0043,VV0044,VV0045,VV0046,VV0047,VV0048,VV0049,VV0050,VV0051,VV0052,VV0053,VV0054,VV0055,VV0056,VV0057,VV0058,VV0059,VV0060,VV0061,VV0062,VV0063,VV0064,VV0065,VV0066
1792797264.8,81.11683487892151,-39656.1,3.2538,-27355.0,1.93935,22261.446747003007,-1.5,-297040.0,41.09480990834953,-179176.0,33.312,245.333,-2634.67,-16480.0,-67.57510475926796,1.215093700040312e-11,-33080.0,-16.0,9.53904e-12,-23820.0,192.06988527996302,-2634.67,-16480.0,-55383.5,5.392,-64435.3,23095.2,0.00123463,9.52839e-08,0.000871897,1.31471,16432.5,10.0,32790.6,45262.9,-36774.35988620153,-20275.1,-150055.0,41335.6,67135.0,34418.8,-152236.0,-21524.2,0.48737809470703647,-57350.5,1.10633,-41810.9,-6040.3,-0.0005710765083809398,3.13447e-07,0.8613649239170433,-5.83812,-1952.0,-533.333,5512.0,32.0,2752.0,3768.0,2522.67,3125.33,-5196.0,-1704.0,1226.67,5122.0,-4257290.0,61412.5,14423.4,-197437.0
1793078377.17,81.58201336860657,-39656.1,3.2538,-27355.0,1.93935,22261.446747003007,-1.5,-297040.0,41.09480990834953,-179176.0,33.312,245.333,-2634.67,-16480.0,-67.57510475926796,1.215093700040312e-11,-33080.0,-16.0,9.53904e-12,-23820.0,192.06988527996302,-2634.67,-16480.0,-55383.5,5.392,-64435.3,23095.2,0.00123463,9.52839e-08,0.000871897,1.31471,16432.5,10.0,32790.6,45262.9,-36774.35988620153,-20275.1,-150055.0,49950.52934684374,67135.0,34418.8,-152236.0,-21524.2,0.48737809470703647,-57350.5,1.10633,-41810.9,-6040.3,-0.0005710765083809398,3.13447e-07,0.8613649239170433,-5.83812,-1952.0,-533.333,5512.0,32.0,2752.0,3768.0,2522.67,3125.33,-5196.0,-1704.0,1226.67,5122.0,-4257290.0,61412.5,14423.4,-197437.0
1794379944.78,69.66657090187073,-39656.1,3.2538,-27355.0,1.93935,22261.446747003007,-1.5,-297040.0,41.09480990834953,-179176.0,33.312,245.333,-2634.67,-16480.0,-67.57510475926796,1.215093700040312e-11,-33080.0,-16.0,9.53904e-12,-23820.0,192.06988527996302,-2634.67,-16480.0,-55383.5,5.392,-64435.3,23095.2,0.00123463,9.52839e-08,0.000871897,1.31471,16432.5,10.0,32790.6,45262.9,-36774.35988620153,-20275.1,-150055.0,41335.6,67135.0,34418.8,-152236.0,-21524.2,0.48737809470703647,-57350.5,1.10633,-41810.9,-6040.3,-0.0005710765083809398,3.13447e-07,0.8613649239170433,-5.83812,-1952.0,-533.333,5512.0,32.0,2752.0,3768.0,2522.67,3125.33,-5196.0,-1704.0,726.9439948569192,5122.0,-4257290.0,61412.5,14423.4,-197437.0
1588098710.92,77.99491333961487,-39656.1,3.2538,-27355.0,1.93935,22261.446747003007,-1.5,-297040.0,41.09480990834953,-179176.0,33.312,245.333,-2634.67,-16480.0,-67.57510475926796,1.215093700040312e-11,-33080.0,-16.0,9.53904e-12,-23820.0,192.06988527996302,-2634.67,-16480.0,-55383.5,5.392,-64435.3,23095.2,0.00123463,9.52839e-08,0.000871897,1.31471,16432.5,10.0,32790.6,45262.9,-36774.35988620153,-20275.1,-150055.0,41335.6,67135.0,34418.8,-152236.0,-21524.2,0.48737809470703647,-57350.5,1.10633,-41810.9,-6040.3,-0.0005710765083809398,3.13447e-07,0.8613649239170433,-7.932685054984857,-1952.0,-533.333,5512.0,32.0,2752.0,3768.0,2522.67,3125.33,-5196.0,-1704.0,1226.67,5122.0,-4257290.0,61412.5,14423.4,-197437.0
1588099164.67,88.62454676628113,-39656.1,3.2538,-27355.0,1.93935,22261.446747003007,-1.5,-297040.0,41.09480990834953,-179176.0,33.312,245.333,-2634.67,-20388.907958237865,-67.57510475926796,1.215093700040312e-11,-33080.0,-16.0,9.53904e-12,-23820.0,192.06988527996302,-2634.67,-16480.0,-55383.5,5.392,-64435.3,23095.2,0.00123463,9.52839e-08,0.000871897,1.31471,16432.5,10.0,32790.6,45262.9,-36774.35988620153,-20275.1,-150055.0,41335.6,67135.0,34418.8,-152236.0,-21524.2,0.48737809470703647,-57350.5,1.10633,-41810.9,-6040.3,-0.0005710765083809398,3.13447e-07,0.8613649239170433,-7.932685054984857,-1952.0,-533.333,5512.0,32.0,2752.0,3768.0,2522.67,3125.33,-5196.0,-1704.0,1226.67,5122.0,-4257290.0,61412.5,14423.4,-197437.0
1587628917.62,95.43826413154602,-39656.1,3.2538,-27355.0,1.93935,22261.446747003007,-1.5,-297040.0,41.09480990834953,-179176.0,33.312,245.333,-2634.67,-16480.0,-67.57510475926796,1.215093700040312e-11,-33080.0,-16.0,9.53904e-12,-23820.0,192.06988527996302,-2634.67,-16480.0,-55383.5,5.392,-64435.3,23095.2,0.00123463,9.52839e-08,0.0007245349589722469,1.31471,16432.5,10.0,32790.6,45262.9,-36774.35988620153,-20275.1,-150055.0,41335.6,67135.0,34418.8,-152236.0,-21524.2,0.48737809470703647,-57350.5,1.10633,-41810.9,-6040.3,-0.0005710765083809398,3.13447e-07,0.8613649239170433,-7.932685054984857,-1952.0,-533.333,5512.0,32.0,2752.0,3768.0,2522.67,3125.33,-5196.0,-1704.0,1226.67,5122.0,-4257290.0,61412.5,14423.4,-197437.0
1578918100.58,86.90808749198914,-39656.1,3.2538,-27355.0,1.93935,22261.446747003007,-1.5,-297040.0,41.09480990834953,-179176.0,33.312,245.333,-2634.67,-16480.0,-67.57510475926796,1.215093700040312e-11,-33080.0,-16.0,9.53904e-12,-23820.0,192.06988527996302,-2634.67,-16480.0,-55383.5,5.392,-64435.3,23095.2,0.00123463,9.52839e-08,0.0007245349589722469,1.31471,16432.5,10.0,32790.6,45262.9,-36774.35988620153,-20275.1,-150055.0,41335.6,67135.0,34418.8,-152236.0,-21524.2,0.48737809470703647,-57350.5,1.10633,-41810.9,-6040.3,-0.0005710765083809398,3.13447e-07,0.8613649239170433,-7.932685054984857,-1952.0,-533.333,5512.0,32.0,2752.0,3768.0,2522.67,3125.33,-5196.0,-1704.0,1226.67,4086.8060225935847,-4257290.0,61412.5,14423.4,-197437.0
1578916985.14,83.696692943573,-39656.1,3.2538,-17742.952148990807,1.93935,22261.446747003007,-1.5,-297040.0,41.09480990834953,-179176.0,33.312,245.333,-2634.67,-16480.0,-67.57510475926796,1.215093700040312e-11,-33080.0,-16.0,9.53904e-12,-23820.0,192.06988527996302,-2634.67,-16480.0,-55383.5,5.392,-64435.3,23095.2,0.00123463,9.52839e-08,0.0007245349589722469,1.31471,16432.5,10.0,32790.6,45262.9,-36774.35988620153,-20275.1,-150055.0,41335.6,67135.0,34418.8,-152236.0,-21524.2,0.48737809470703647,-57350.5,1.10633,-41810.9,-6040.3,-0.0005710765083809398,3.13447e-07,0.8613649239170433,-7.932685054984857,-1952.0,-533.333,5512.0,32.0,2752.0,3768.0,2522.67,3125.33,-5196.0,-1704.0,1226.67,4086.8060225935847,-4257290.0,61412.5,14423.4,-197437.0
1564217654.12,74.0265908241272,-39656.1,3.2538,-17742.952148990807,1.93935,22261.446747003007,-1.5,-297040.0,41.09480990834953,-179176.0,33.312,245.333,-2634.67,-16480.0,-67.57510475926796,1.215093700040312e-11,-33080.0,-16.0,9.53904e-12,-23820.0,192.06988527996302,-2634.67,-16480.0,-55383.5,5.392,-64435.3,23095.2,0.00123463,9.52839e-08,0.0007245349589722469,1.31471,16432.5,10.0,32790.6,45262.9,-36774.35988620153,-20275.1,-150055.0,41335.6,67135.0,34418.8,-152236.0,-21524.2,0.48737809470703647,-57350.5,1.10633,-41810.9,-6040.3,-0.0005710765083809398,3.13447e-07,0.8613649239170433,-7.932685054984857,-1952.0,-533.333,5512.0,32.0,2752.0,3768.0,2522.67,3125.33,-5196.0,-1704.0,1226.67,4086.8060225935847,-4257290.0,61412.5,9790.16137611531,-197437.0
1533424329.61,79.56042504310608,-39656.1,3.2538,-17742.952148990807,1.93935,22261.446747003007,-1.5,-311442.2872208711,41.09480990834953,-179176.0,33.312,245.333,-2634.67,-16480.0,-67.57510475926796,1.215093700040312e-11,-33080.0,-16.0,9.53904e-12,-23820.0,192.06988527996302,-2634.67,-16480.0,-55383.5,5.392,-64435.3,23095.2,0.00123463,9.52839e-08,0.0007245349589722469,1.31471,16432.5,10.0,32790.6,45262.9,-36774.35988620153,-20275.1,-150055.0,41335.6,67135.0,34418.8,-152236.0,-21524.2,0.48737809470703647,-57350.5,1.10633,-41810.9,-6040.3,-0.0005710765083809398,3.13447e-07,0.8613649239170433,-7.932685054984857,-1952.0,-533.333,5512.0,32.0,2752.0,3768.0,2522.67,3125.33,-5196.0,-1704.0,1226.67,4086.8060225935847,-4257290.0,61412.5,9790.16137611531,-197437.0
